Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-zambia.fhir.smart-immunizations-measles.json	29892	-	0	0	0	0	0	0	18	174	0	0	0	0	0	0	0	2	0	0	332	341	0	0	0	0	22	0	4
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1592	7	0	0	0	1	0	0	0	52	0	0	0	0	0	0	0	0	0	0	23	31	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1394	6	1	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	22	29	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	2091	7	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	28	29	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	760	5	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	23	45	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	728	4	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	17	31	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	559	3	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	18	28	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ICD11.json	5865	13	0	0	0	0	0	0	1	60	0	0	1	0	0	0	0	0	0	0	65	36270	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.C.json	3154	8	1	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	58	211	0	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE1.json	1046	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17	163	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE5.json	2623	6	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	23	170	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.json	2729	6	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	22	146	0	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-IMMZ.D4.json	1633	4	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	14	148	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	969	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	149	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-IMMZCConceptMap.json	6725	14	0	0	0	0	0	0	0	1608	0	0	0	0	0	0	0	0	0	0	50	73	0	0	0	0	5	0	0
fsh-generated/resources/ConceptMap-IMMZCSexToAdministrativeGender.json	2018	5	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	27	46	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZD1ConceptMap.json	6730	14	0	0	0	0	0	0	1	791	0	0	0	0	0	0	0	3	0	0	54	52	0	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-IMMZD4ConceptMap.json	6386	13	0	0	0	0	0	0	1	548	0	0	0	0	0	0	0	0	0	0	55	68	0	0	0	0	4	0	0
fsh-generated/resources/Immunization-Immunization1.json	881	5	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND05.json	3320	7	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	21	25	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND40.json	3321	6	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	25	16	0	0	0	0	1	0	0
fsh-generated/resources/Medication-Vaccine-MSDMMRVaxPro.json	1008	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	15	287	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-SIIMeasles.json	702	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-VaccineProposal1.json	456	4	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	10	22	0	0	0	0	0	0	1
fsh-generated/resources/Patient-P123456.json	287	3	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P654321.json	287	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeasles.json	1533	4	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesCI.json	2232	5	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0	0
